state_code,income_bucket,loan_purpose,median_loan_amount_male,median_loan_amount_female,median_interest_rate_male,median_interest_rate_female,approvals_male,approvals_female,loan_amount_gap_male_minus_female,interest_rate_gap_male_minus_female
IA,High,31,145000.0,105000.0,6.99,6.9399999999999995,721,288,40000.0,0.05000000000000071
MT,High,4,125000.0,105000.0,8.5,8.49,293,121,20000.0,0.009999999999999787
HI,High,31,325000.0,305000.0,5.2,5.25,690,292,20000.0,-0.04999999999999982
PR,Middle,32,175000.0,160000.0,6.5,6.25,141,76,15000.0,0.25
NC,High,31,205000.0,205000.0,7.24,6.99,3979,1362,0.0,0.25
NC,High,2,105000.0,105000.0,7.49,7.49,5968,2560,0.0,0.0
NJ,High,1,525000.0,475000.0,6.625,6.7,23505,10236,50000.0,-0.07500000000000018
AL,High,32,235000.0,180000.0,6.99,7.0,1268,380,55000.0,-0.009999999999999787
FL,Low,32,165000.0,145000.0,6.6,6.625,7905,6928,20000.0,-0.025000000000000355
VT,High,1,395000.0,375000.0,6.75,6.75,1054,651,20000.0,0.0
IN,Middle,2,55000.0,55000.0,8.25,8.25,4543,1952,0.0,0.0
OK,High,32,205000.0,180000.0,7.0,7.25,693,258,25000.0,-0.25
GA,Low,31,115000.0,105000.0,7.1,6.99,1402,1278,10000.0,0.10999999999999943
TX,Low,32,125000.0,115000.0,7.0,7.005,4980,4710,10000.0,-0.004999999999999893
GA,Low,2,55000.0,55000.0,8.25,8.25,1683,1640,0.0,0.0
MT,High,1,485000.0,445000.0,6.75,6.875,2141,1024,40000.0,-0.125
WI,Low,32,115000.0,95000.0,6.75,6.75,2603,1933,20000.0,0.0
PR,Low,31,115000.0,100000.0,6.25,5.875,102,108,15000.0,0.375
PR,Low,2,90000.0,85000.0,7.125,6.125,22,25,5000.0,1.0
DE,High,31,225000.0,225000.0,7.5975,7.695,284,118,0.0,-0.09750000000000014
NJ,High,4,105000.0,105000.0,8.32,8.25,5139,1988,0.0,0.07000000000000028
AK,Middle,32,235000.0,165000.0,6.75,6.875,259,125,70000.0,-0.125
RI,Low,4,55000.0,55000.0,7.99,7.75,297,278,0.0,0.2400000000000002
MN,Middle,4,55000.0,55000.0,8.0,8.0,2953,1695,0.0,0.0
PA,High,2,95000.0,85000.0,7.49,7.39,7457,3220,10000.0,0.10000000000000053
PA,High,31,185000.0,155000.0,7.25,7.25,4514,1575,30000.0,0.0
VT,High,4,105000.0,105000.0,7.5,7.5,200,85,0.0,0.0
AK,High,2,105000.0,90000.0,8.24,8.5625,119,66,15000.0,-0.3224999999999998
GU,Low,32,305000.0,,7.875,,1,,,
MN,High,31,185000.0,155000.0,7.5,7.5,1561,641,30000.0,0.0
ND,Middle,2,45000.0,45000.0,8.0,8.14,270,160,0.0,-0.14000000000000057
OH,Middle,2,55000.0,55000.0,8.5,8.59,7518,4064,0.0,-0.08999999999999986
AZ,Low,4,55000.0,55000.0,8.125,8.0,1681,1528,0.0,0.125
MN,High,2,85000.0,75000.0,7.99,7.75,3055,1551,10000.0,0.2400000000000002
ND,Middle,31,125000.0,105000.0,7.32,7.395,186,74,20000.0,-0.07499999999999929
MA,Middle,32,255000.0,245000.0,6.74,6.75,2429,1668,10000.0,-0.009999999999999787
OK,Low,4,45000.0,45000.0,8.25,7.99,797,694,0.0,0.2599999999999998
AK,High,31,415000.0,330000.0,6.625,6.5,69,28,85000.0,0.125
DE,High,2,105000.0,105000.0,8.25,8.25,486,243,0.0,0.0
