lender_id,controlled_groups,avg_gap_male_minus_female,avg_disparate_impact,male_favored_groups,female_favored_groups
549300PC4MFWQBNVKG88,12,0.023787213599906393,0.9727443091861301,9.0,3.0
2549008LK3474E9U2888,14,-0.023738785755968946,1.0383406658737115,6.0,8.0
5493000NYUJT9UC6G261,18,0.023546789485197974,0.9691060520111391,11.0,7.0
ZF85QS7OXKPBG52R7N18,17,0.022928884754673366,0.9916097231485845,12.0,5.0
549300SUCQ1358EGVE89,20,0.02290925302172934,0.8832118232548256,14.0,6.0
549300AT7EB9FJAF0E61,17,-0.022710419241442854,1.0649537449337168,6.0,11.0
549300OBO7DOF2KOP535,19,0.02263421892965708,0.9572532509655931,14.0,5.0
549300YKTME1U7Z0UN20,12,-0.022633228619549944,1.0345014007217752,5.0,7.0
E57ODZWZ7FF32TWEFA76,16,-0.022488664760587584,1.0516163216846837,4.0,12.0
549300YD7XJM19TH5O82,10,0.022413017267608186,0.9603224171382438,6.0,4.0
70WY0ID1N53Q4254VH70,18,-0.022108859792927666,1.064964841016937,6.0,12.0
8I3UVGYULPJQIP7FQV10,28,0.02168706861627596,0.9729733124102223,19.0,9.0
EQTWLK1G7ODGC2MGLV11,120,0.021012231489992452,0.9660892869557631,76.0,44.0
549300KM40FP4MSQU941,13,-0.020868984090955965,1.042060783801425,3.0,10.0
01J4SO3XTWZF4PP38209,19,0.020680565905572917,0.9722100987983687,12.0,7.0
549300TM179TSKK3HQ94,16,0.020105557323300396,0.9756121184231216,10.0,6.0
549300K7224BC1IAX207,13,0.020019955685918814,0.9684001951037197,8.0,5.0
549300QIUZLVR1OLDH55,11,-0.019951870155315122,1.0347148933795922,3.0,8.0
5493008NWHQT1R22C024,32,0.01960408298139151,0.9659716485436671,20.0,12.0
5493002Y5XYV7DV1ZV88,10,-0.019534665023894605,1.0250712318128132,4.0,6.0
549300GY4NTTEM7WWB64,18,-0.019429132001190102,1.0287454867829646,6.0,12.0
254900WEP08K7U7S3A80,18,0.01922863218141481,0.9813718257526843,11.0,6.0
549300MRP46SVQMWOE81,11,0.01920296217750288,0.982378120237912,8.0,3.0
549300ZZME37MXI1EF14,17,0.019167939434153097,0.9834749479162919,11.0,6.0
5493001R92DY5DI1DI85,18,-0.019166840463659837,1.0261629852782896,7.0,11.0
5493007I0X1GRWIU8B34,24,-0.01887948100367162,1.028280859673682,7.0,17.0
DX0JX77PRMOELF7VG772,23,0.018044703985936463,0.9777205165814457,16.0,7.0
549300HFXTV55C2HHM89,12,-0.017872844675816447,1.0463067628958564,3.0,9.0
VN1JLT1F3FLLVN3FZG89,18,0.017580308122996473,0.97401345288692,11.0,7.0
549300KBWX4NV5Q1E376,34,0.017474232995361428,0.9760417317847702,23.0,11.0
549300YB1H2FRI6JPM51,15,-0.01741976290720347,1.02610982923999,5.0,10.0
5493007VW2EU20PZYU97,21,0.017306766313448477,0.9795756216172629,16.0,5.0
549300PXL1KA5TOL2O82,15,0.017192027270968482,0.9816243714178732,10.0,5.0
KB1H1DSPRFMYMCUFXT09,183,-0.017182384656095753,1.0633916337842986,70.0,113.0
KI0VI4JRMCIJ329YTN75,11,0.017087987070276246,0.9762092637062755,5.0,6.0
549300MZ8VZJOVC63092,20,0.017046214516533945,0.9740661847525365,12.0,8.0
549300QR0KFPEDZPEI42,19,0.017027582104058143,0.9770167066827362,14.0,5.0
549300WWLOUWIJ1Q0H29,12,-0.016925781190709973,1.0291148631939697,4.0,8.0
COOWI3L2W9TPYR3WJX37,28,0.016807828983737057,0.9685941449317946,15.0,13.0
549300BDHZAV4ZQHQV19,14,-0.016776579581404577,1.0286621901096769,5.0,9.0
549300NJVKCDJA5YC939,13,0.01620962709590664,0.9809485814448577,7.0,6.0
T68X8LLAQYRNDV034K14,32,0.01588743005906107,0.9845619308593154,19.0,13.0
5493004WMLN60ZJ2ON46,39,0.015841631800112645,0.9793799908110483,25.0,14.0
5493001SXWZ4OFP8Z903,69,0.015734092015283162,0.9796823225461826,47.0,22.0
549300VORTI31GZTJL53,61,0.015376153370817113,0.981085365095797,39.0,22.0
MV4O55SH8HO6KQSGW013,20,0.015206064749792253,0.9844012115340751,11.0,9.0
549300NL3JN3ABDPH257,12,-0.01503183641234746,1.0225203171257053,5.0,7.0
X8V2II80XTQHRH7NCB19,11,-0.014956138539910043,1.0258915641163429,2.0,9.0
549300SHE1JTCOWBP090,14,0.014818779114654854,0.9856718651761914,13.0,1.0
PAOOWF3GUFM46FBSP561,11,0.014675695168512649,0.9675524007668795,9.0,2.0
549300HW662MN1WU8550,219,-0.014594581641380314,1.025788710437243,93.0,126.0
549300G6RZM5T8NQJW74,11,0.014474652521586978,0.9812959103277389,7.0,4.0
549300T94GSH3C4U5M59,12,-0.014034675720611942,1.074200190066746,5.0,7.0
549300EM8ID8J7F8OM55,11,-0.01403297726477206,1.0215031851898906,4.0,7.0
DRMSV1Q0EKMEXLAU1P80,199,0.01391742377013686,0.9785175182475538,126.0,73.0
5493006ZBGVXBAMCRG16,10,-0.013891766041688302,1.083313121923999,3.0,7.0
549300E2UX99HKDBR481,149,-0.013874551545269734,1.1070353252013343,60.0,89.0
549300DD5QQUHO6PCH70,102,0.013765094840365467,1.0530379697048264,63.0,39.0
5493001GDRY0EL7VG372,35,-0.013562983143983022,1.0179293228912578,16.0,19.0
54930052M48FOD3CWA54,28,0.01329486062728903,0.9829364318486503,17.0,11.0
549300W4FT4H1UWPGU95,23,0.01325667291084073,0.9807172393209769,14.0,9.0
WV0OVGBTLUP1XIUJE722,12,-0.013234799132265357,1.0186110293888497,3.0,9.0
549300AY1W8F91VLTB05,10,-0.013201529171529192,1.1626058694603945,4.0,6.0
3Y4U8VZURTYWI1W2K376,54,-0.01314387994541515,1.053924492320792,21.0,33.0
54930001NSTOD85LT125,48,0.013039150921493154,0.9849174292015582,27.0,21.0
5493008N1D96CHCTQC27,19,-0.012695179187423748,1.0279892260843302,7.0,12.0
549300LYRWPSYPK6S325,84,-0.012569097667320787,1.047620672010197,34.0,50.0
549300PIL8LFAQ04XC20,98,-0.012558635365151736,1.069998311093178,36.0,62.0
HUX2X73FUCYHUVH1BK78,41,0.012479668121208947,0.9795870096136878,24.0,17.0
549300RN01LBYR8ZVX74,26,-0.01238740669685866,1.0231020083277618,11.0,15.0
549300YIBRM1ZYA6GT07,11,-0.012189185521952665,1.0053807746312542,4.0,7.0
549300GSCUJKJINRJ980,15,-0.012064177565787653,1.0187854845909123,5.0,10.0
54930063XGNMIXS57091,12,-0.011877139003523045,1.0364910495939368,6.0,6.0
549300U3721PJGQZYY68,141,-0.011829889298703516,1.148730042133387,54.0,87.0
549300T9P3WXNMXX0I34,16,0.011656429374155557,0.9881360522717603,9.0,7.0
B4TYDEB6GKMZO031MB27,290,-0.011334487926682318,1.0354421370989184,119.0,171.0
254900O723MCLR701H50,13,-0.01128962702307951,1.014170081476252,5.0,8.0
XJCRTTYJVBMA22IXL619,10,-0.011262901523643686,1.0681467153218587,4.0,6.0
549300121SF0K2LN2804,62,-0.0111014137075678,1.0156355218406314,25.0,37.0
549300XWUSRVVOHPRY47,43,-0.010697408112270821,1.0540089122438465,18.0,24.0
7H6GLXDRUGQFU57RNE97,151,-0.010350312870506077,1.0274728409293328,65.0,85.0
549300MSU5WVAU4ZN645,16,0.01017911352752483,0.9906768649161979,9.0,7.0
254900ZFWS2106HWPH46,38,0.010107342586329556,0.9985752164327493,24.0,14.0
549300MCIFZSDHUT8X63,36,0.010007552593713713,0.9889387186868424,19.0,17.0
549300DD4R4SYK5RAQ92,89,0.009917703735263059,0.9876146274028099,54.0,35.0
IUGPUX5LWRZ3B6KIZ697,29,0.009774106190794047,1.006651404523988,17.0,12.0
549300VZVN841I2ILS84,159,-0.009709753643282068,1.0655866930562545,66.0,93.0
25490066WMF8ZMQXQB18,14,-0.009642544210279063,1.013445944562643,5.0,9.0
5493006S869XKIESMV41,29,0.009310517431028946,0.9940981811758008,16.0,13.0
549300FGXN1K3HLB1R50,322,-0.009270569771267674,1.0161297875756594,130.0,192.0
549300KJ8PAJ7E52HG32,39,0.00902110060976245,0.992905243264064,24.0,15.0
5493001GCBD5XGNIC815,33,-0.009015779877201285,1.009674376339088,11.0,22.0
549300RWXUAFD1WAE410,14,0.008753338446801675,0.9914450244925218,8.0,6.0
5493009XSE00M8B9R434,11,0.008725857342311473,0.9649364407097298,7.0,4.0
549300AQ3T62GXDU7D76,105,0.008592632470149377,0.994373785735359,55.0,50.0
549300KTR1JGH3K6LU06,14,-0.00851841994570854,1.0178273890062406,6.0,8.0
549300XY701IELCE5Q08,11,0.008419071002452282,0.9849810909790908,7.0,4.0
549300ONBM4MGXXBTA44,11,0.008227551072369216,0.9888038008390301,5.0,6.0
549300GCEP3NM7A1X491,12,0.008196891710655943,0.9961726130371654,6.0,6.0
549300SWKVL60SKWK981,12,0.008144173626322642,0.9990122714062477,6.0,6.0
IFQSIUC9AGQV2NE8CN25,15,-0.00797903245256741,1.0245688295277215,9.0,6.0
254900Q5026VQBAVI394,12,-0.007667674237018566,1.014581428558541,6.0,6.0
549300AG64NHILB7ZP05,141,-0.0075955350711919304,1.0216577431854645,62.0,79.0
549300N1YEXP02MHBR47,13,0.007531033184044364,0.9899540703018668,8.0,5.0
